no ks ts tr alpha n roh z
1 0.000337 0.530000 0.001000 1.040000 1.253000 1080.000000 -0.0
2 0.000174 0.414500 0.001000 0.530000 1.219000 1535.000000 -0.2
3 0.000319 0.408000 0.001000 1.925000 1.206000 1520.000000 -0.6
