no ks ts tr alpha n roh z
1 0.000051 0.716000 0.012333 4.116667 1.256667 856.666667 -0.0
2 0.000286 0.661667 0.001000 7.506667 1.216333 970.000000 -0.1
3 0.000875 0.637000 0.001000 8.583333 1.224333 876.666667 -0.2
4 0.001566 0.631500 0.001000 6.700000 1.237500 1240.000000 -0.3
5 0.000579 0.527333 0.001000 4.843333 1.204000 1166.666667 -0.4
