no ks ts tr alpha n roh z
1 0.000067 0.437000 0.001000 0.480000 1.262000 1480.000000 -0.1
2 0.000128 0.468000 0.001000 0.390000 1.237000 1300.000000 -0.2
3 0.000000 0.556000 0.001000 0.130000 1.237000 1270.000000 -0.3
4 0.000213 0.565333 0.031667 3.976667 1.603667 1123.333333 -0.8
5 0.000093 0.562500 0.022000 3.315000 1.711000 1145.000000 -1.1
6 0.000003 0.434000 0.001000 1.790000 1.199000 1510.000000 -1.4
