no ks ts tr alpha n roh z
1 0.0000 0.4490 0.0000 0.2700 1.2920 1.4400 -0.5500
2 0.0004 0.4110 0.0000 1.5900 1.2270 1.5200 -0.2000
3 0.0001 0.4370 0.0000 0.4800 1.2620 1.4800 -0.1700
4 0.0005 0.5170 0.0000 0.0400 1.2860 1.4300 -0.5500
5 0.0001 0.4680 0.0000 0.3900 1.2370 1.3000 -0.2500
6 0.0001 0.4030 0.0000 1.1700 1.2050 1.5300 -0.2000
7 0.0002 0.5120 0.0170 3.2100 1.7500 1.2200 -0.8300
8 0.0000 0.4450 0.0180 2.0100 2.1220 1.4100 -1.8300
9 0.0001 0.5610 0.0420 3.2700 1.7540 1.1000 -1.1000
