sample,depth,sand,silt,clay,BD,porosity,Ks_estimate,theta_sat,theta_res,alpha,n,tau,Ks_meas
297.3,  0.8,  56.95, 14.56, 16.21, 1.12,  0.58,  0.060194444,  0.568,  0.019,  4.13,  1.512,  -0.749,  0.000407333
270.3,  0.8,  57.30, 17.14, 14.46, 1.14,  0.57,  0.001194444,  0.554,  0.026,  4.4,  1.582,  -2,  0.000113667
1025.3,  0.8, 57.90, 15.48, 15.77, 1.11,  0.58,  0.085980324,  0.574,  0.05,  3.4,  1.717,  -0.376,  0.000119
250.3,  1.1,  50.70, 15.76, 15.47, 1.2,  0.55,  0.095158565,  0.554,  0.013,  2.64,  1.764,  -0.027,  6.47667E-05
276.3,  1.1,  57.39, 16.25, 15.97, 1.09,  0.59,  0.141983796,  0.571,  0.031,  3.99,  1.658,  -0.109,  0.000120333
291.3,  1.4,  39.31, 25.58, 28.96, 1.51,  0.43,  0.109221065,  0.434,  0,  1.79,  1.199,  0.88,  3.25333E-06
455,  0.14,  36.10, 25.34, 41.78, 1.48, 0.44, 0.000430556, 0.437,  0,  0.48,  1.262,  10,  0.000067
280,  0.25,  33.55, 24.44, 42.28, 1.3, 0.51, 0.000299769, 0.468,  0,  0.39,  1.237,  2.313,  0.000127667
272,  0.3,  5.07, 21.51, 76.97, 1.27, 0.52, 0.000115741, 0.556,  0,  0.13,  1.237,  10,  0.1E-09
