sample,depth,sand,silt,clay,BD,porosity,Ks_estimate,theta_sat,theta_res,alpha,n,tau,Ks_meas
257.2, 0.6, 31.65, 48.47, 19.88, 1.24, 0.53, 0.821533565, 0.469, 0, 3.75, 1.206, 1.051, 0.000318667
261, 0.6, 34.25, 29.19, 36.57, 1.8, 0.32, 0.000115741, 0.347, 0, 0.1, 1.206, 10, 0.000318667
274, 0.15, 18.28, 47.47, 34.25, 1.56, 0.41, 0.000200231, 0.4, 0, 0.45, 1.258, 0.689, 0.0001476
275, 0.15, 14.81, 52.27, 32.92, 1.51, 0.43, 0.000331019, 0.429, 0, 0.61, 1.18, -0.817, 0.0002
277, 0.05, 13.97, 51.89, 34.14, 1.08, 0.59, 0.007019676, 0.53, 0, 1.04, 1.253, 1.092, 0.000336667
